#SampleID	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__NB1-j	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Patescibacteria	d__Bacteria;p__FCPU426	d__Bacteria;p__MBNT15	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__WS4	d__Bacteria;p__Hydrogenedentes	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Zixibacteria	d__Bacteria;p__Margulisbacteria	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Deferrisomatota	d__Bacteria;p__LCP-89	d__Bacteria;p__GAL15	d__Bacteria;p__WOR-1	d__Bacteria;p__WS2	d__Bacteria;p__CK-2C2-2	d__Bacteria;p__TX1A-33	d__Bacteria;p__WS1	d__Bacteria;p__Modulibacteria	d__Bacteria;p__DTB120	d__Bacteria;p__Sva0485	d__Bacteria;p__RCP2-54	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__Dadabacteria	d__Bacteria;p__Nitrospinota	d__Bacteria;p__PAUC34f	d__Bacteria;p__FW113	d__Bacteria;p__Rs-K70_termite_group	d__Bacteria;p__Deferribacterota	d__Bacteria;p__TA06	d__Bacteria;p__Synergistota	d__Bacteria;p__Thermotogota	d__Bacteria;p__Caldisericota	d__Bacteria;p__Caldatribacteriota	d__Bacteria;p__Coprothermobacterota
SRR21723044	41.0	32306.0	494.0	0.0	157.0	116.0	4950.0	4.0	63.0	0.0	10.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723045	229.0	5851.0	1182.0	28.0	459.0	631.0	7179.0	7.0	27.0	7.0	14.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723046	34.0	10071.0	853.0	0.0	438.0	398.0	6257.0	0.0	30.0	32.0	2.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723047	0.0	12492.0	403.0	0.0	47.0	859.0	4733.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723048	22.0	26567.0	272.0	0.0	239.0	273.0	5205.0	0.0	0.0	36.0	22.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723049	94.0	12190.0	826.0	0.0	980.0	5145.0	11181.0	0.0	38.0	19.0	44.0	9.0	0.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723050	51.0	10077.0	461.0	0.0	1294.0	299.0	11107.0	0.0	71.0	28.0	26.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723051	6.0	13601.0	1227.0	0.0	609.0	1291.0	7447.0	61.0	9.0	6.0	0.0	6.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723052	613.0	3723.0	375.0	0.0	2377.0	971.0	5514.0	12.0	30.0	89.0	26.0	3.0	0.0	48.0	0.0	2.0	0.0	0.0	0.0	39.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723053	148.0	15556.0	1767.0	0.0	469.0	258.0	10298.0	64.0	40.0	6.0	81.0	10.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723054	38.0	9437.0	1217.0	2.0	199.0	143.0	7325.0	0.0	27.0	5.0	56.0	7.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723055	54.0	10715.0	714.0	0.0	565.0	340.0	11094.0	0.0	66.0	7.0	58.0	3.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723056	122.0	13523.0	1288.0	0.0	200.0	188.0	10174.0	3.0	128.0	6.0	57.0	14.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723057	48.0	13864.0	1067.0	0.0	879.0	647.0	8536.0	0.0	20.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723058	0.0	7565.0	168.0	0.0	46.0	54.0	3632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723059	7.0	15011.0	838.0	0.0	137.0	868.0	8813.0	0.0	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723061	748.0	3813.0	295.0	0.0	1781.0	4004.0	7092.0	14.0	149.0	40.0	43.0	5.0	0.0	27.0	11.0	9.0	0.0	0.0	0.0	43.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723062	743.0	2910.0	299.0	0.0	1725.0	2370.0	4679.0	2.0	67.0	44.0	32.0	27.0	0.0	43.0	5.0	4.0	2.0	0.0	0.0	24.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723063	577.0	4021.0	361.0	14.0	1444.0	912.0	6008.0	5.0	149.0	63.0	57.0	9.0	0.0	11.0	2.0	4.0	0.0	0.0	0.0	47.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723064	894.0	4470.0	387.0	26.0	2015.0	1607.0	5375.0	17.0	170.0	80.0	39.0	14.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	2.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723065	778.0	3285.0	138.0	0.0	2037.0	3011.0	6272.0	8.0	101.0	72.0	26.0	11.0	0.0	48.0	6.0	8.0	0.0	0.0	0.0	20.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723066	968.0	3303.0	408.0	0.0	434.0	1808.0	8890.0	8.0	160.0	24.0	15.0	16.0	0.0	13.0	0.0	0.0	8.0	0.0	0.0	73.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723067	1119.0	5531.0	489.0	0.0	2681.0	2121.0	7220.0	9.0	145.0	120.0	76.0	45.0	0.0	24.0	5.0	3.0	0.0	0.0	2.0	43.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723068	1029.0	5755.0	569.0	6.0	2128.0	1904.0	7183.0	20.0	210.0	107.0	48.0	15.0	2.0	42.0	5.0	3.0	0.0	0.0	2.0	45.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723070	1364.0	6270.0	499.0	14.0	1859.0	1474.0	8911.0	19.0	220.0	102.0	94.0	71.0	6.0	24.0	8.0	17.0	0.0	0.0	2.0	44.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723071	730.0	4204.0	522.0	0.0	1800.0	2896.0	6434.0	17.0	168.0	51.0	28.0	18.0	0.0	44.0	0.0	9.0	0.0	0.0	0.0	38.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723072	897.0	4071.0	373.0	0.0	2268.0	2901.0	6043.0	6.0	158.0	88.0	31.0	32.0	2.0	44.0	0.0	14.0	0.0	0.0	0.0	46.0	0.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723073	1086.0	3747.0	200.0	0.0	1794.0	2807.0	6362.0	4.0	182.0	103.0	16.0	6.0	2.0	37.0	2.0	19.0	0.0	0.0	0.0	16.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723075	1054.0	5385.0	367.0	6.0	2104.0	2438.0	7708.0	11.0	253.0	186.0	39.0	25.0	0.0	59.0	2.0	3.0	0.0	0.0	4.0	44.0	0.0	0.0	12.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723076	861.0	2923.0	183.0	0.0	998.0	2960.0	7577.0	0.0	163.0	51.0	24.0	9.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723077	1211.0	4219.0	636.0	0.0	635.0	2939.0	9570.0	7.0	320.0	90.0	11.0	15.0	3.0	23.0	0.0	12.0	17.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723078	607.0	3205.0	308.0	0.0	826.0	3044.0	7731.0	6.0	148.0	80.0	31.0	14.0	0.0	20.0	0.0	3.0	2.0	0.0	0.0	34.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723080	316.0	3947.0	564.0	0.0	2085.0	996.0	4719.0	11.0	93.0	57.0	41.0	27.0	3.0	14.0	11.0	11.0	0.0	0.0	0.0	30.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21723084	967.0	6062.0	1091.0	0.0	1802.0	3606.0	10113.0	15.0	187.0	123.0	62.0	19.0	9.0	19.0	0.0	12.0	0.0	0.0	0.0	13.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
